note_id,note_text
"652","Bus operates direct along Pacific Hwy from Lisarow Station to Wyoming Shops, omitting Parsons Rd, Newling St & Wyoming Rd"
"653","Bus operates direct along Narara Valley Dr between Narooma Rd & Narara Station, omitting Narooma Rd, Gilda Dr, Dalmeny Rd & Mangrove Creek Rd"
"655","Public school days bus diverts to Pt Clare PS via Talinga Av, Nioka Av & Takari Av, omitting the bus stop opposite Pt Clare station"
"657","Bus runs via Pacific Hwy between Wyong & Johns Rd, omitting Pollock Av"
"658","Combined Route 37\38 service. Bus operates via Wyoming, omitting Pacific Hwy & Wyoming Rd between Cary St & Bourbon St"
"661","Bus continues to The Scenic Rd & Cullens Rd"
"664","Bus commences 4 minutes earlier at corner Old Tuggerah Rd & Pacific Hwy"
"665","Public school holidays operates 5 minutes later than time shown"
"666","Bevington Shore Diversion, along Sunrise Av"
"669","Combined service. Bus operates via Route 50 direct via Ocean Beach Rd & Sydney Av to Umina Beach (South), then via Umina Beach Shops & Route 55 to Ettalong, then via Route 53 to Booker Bay"
"670","Bus runs direct along Central Coast Hwy & Wyee Rd"
"672","Bus diverts to Victoria St, Norah Head"
"673","Bus commences from Manns Rd & Dell Rd, West Gosford 12 minutes earlier"
"674","Public school days bus diverts via Davistown Rd, High St & Mimosa Av to Village Rd, omitting Jirramba Av"
"675","Bus operates via Cary St between Maidens Brush Rd & Pacific Hwy omitting Jarrett St & Kinarra Av"
"680","Bus operates from Kincumber Church direct to The Scenic Rd, then via Cullens Rd, Melville St, Scaysbrook Dr, Melville St & Oberton St back to Kincumber Church"
"681","Bus operates via Blackwall Rd direct, omitting Brick Wharf Rd, North Burge Rd & Burge Rd, then via Memorial Av to Uligandi St, omitting McMasters Rd, Dunmore St, Wyalong Rd, Springwood St, Beach St, Barrenjoey Rd & part of Uligandi St"
"682","Bus operates as Route 50 between Umina & Woy Woy"
"684","Bus operates to Terrigal via Charles Kay Dr & North Avoca"
"685","Bus diverts via Hanlan St, Strand Av & Deane St"
"689","Journey operates direct along Pacific Hwy, then Central Coast Hwy to Wills Rd & Barker Av, returning via San Remo"
"691","Bus diverts via Manns Rd Industrial Area, West Gosford"
"692","Catch Routes 36 or 37 for travel between Burns Rd & Tuggerah. A change of bus is required at Burns Rd"
"697","Bus diverts from Maidens Brush Rd via Birch Rd, Blueberry St & Japonica Dr, omitting the bus stop in Maidens Brush Rd near Birch Rd"
"698","Bus operates via Scenic Hwy, omitting Bradleys Rd & Lakeshore Dr"
"699","Continues to Woy Woy and Gosford as Route 70"
"700","Bus operates via Route 38 through Wyoming, omitting the Pacific Hwy between Kinarra Av & Cary St"
"704","Change to\from Route 64 at Empire Bay PS to continue journey"
"705","Bus operates via Arizona Rd & Mataram Rd, omitting Hakone Rd & Waterside Dr"
"706","Bus operates from Sydney Av via Route 57 to Woy Woy"
"709","Combined service. Bus operates via Route 55 to Ettalong, then via Route 53 to Woy Woy"
"710","Bus runs via Pacific Hwy direct between Wyong & Brittania Dr, omitting Watanobbi"
"711","Bus operates via Cary St between Maidens Brush Rd & Pacific Hwy, omitting Jarrett St & Kinarra Av"
"713","Bus operates via Sydney Av & Ocean Beach Rd direct, omitting Umina Beach Shops"
"714","Bus operates between Plymouth Dr & Terrigal Dr via Windsor Rd, Willoughby Rd, Aspen Av, Hastings Rd & Brunswick Rd or vice versa then standard route"
"715","Bus operates direct along Showground Rd & Narara Valley Dr to or from Narara Station, omitting Maliwa Rd, Manns Rd, Hanlan St & Deane St"
"717","Bus runs direct to Budgewoi Rd from Main Rd, omitting Norah Head"
"719","Bus operates via Picnic Pd then Ocean View Rd direct, omitting Ocean View & Memorial. Time shown is at Picnic Pd & Ocean View Rd"
"721","Bus commences 3 minutes earlier at corner Willoughby Rd & Fairway Dr & operates via Windsor Rd to Plymouth Dr"
"723","Bus operates via Sydney Av & Ocean Beach Rd direct, omitting Umina Beach shops"
"724","Bus operates via Bruce Cres Loop, Warnervale"
"730","Bus operates direct via Main Rd, omitting Fravent St area"
"731","Bus operates direct along Pacific Hwy to Elizabeth Dr, then returns via Lake Munmorah"
"739","Bus operates direct along Narara Valley Dr to Narooma Rd, returning to Gosford via normal route through Gilda Dr"
"741","Bus operates direct along Avoca Dr between Central Coast Hwy & Koolang Rd"
"751","Bus Service diverts by The Ridge and The Crescent"
"757","Bus travels via Princes Hwy. Parkes St & Cemetery Rd"
"762","Bus service diverts by The Ridge & The Crescent"
"794","Bus commences from Mt Colah Station 4 minutes earlier"
"795","VIA LINDFIELD AVE (L) MIDDLE HARBOUR (L) TRAFALGAR (L) RUSSELL (R) LINDFIELD, WERONA (R)STANHOPE (L) SPRINGDALE (L) KARRANGA , LOCKSLEY"
"796","Bus diverts to Sacred Heart Catholic School"
"797","Bus stops at Normanhurst Station East Side"
"798","Bus commences from corner of Duffy Avenue ans Quarter Sessions Road at 08:00"
"799","Bus commences from the corner of Parker Avenue and The Comenarra Parkway at 7:12"
"800","Bus continues to Turramurra Station at 16:16"
"801","Bus diverts via East Gordon, Mount Ida Street"
"802","From Hornsby, bus operates via St Patrick School, Asquith PS and Parklands Road Loop"
"803","Combined 587-588. Bus operates via route 588 through Hornsby South to Clarke Road, then via Unwin Road, Edwards Road and Denman Parade, then route 588 through Normanhurst West to Chilvers Road, then normal route 587"
"804","Express from St Ives, set down only"
"805","Bus operates via Pacific Highway, College Crescent, Malsbury Road, Sefton Road, Chilvers Road, Duffy Avenue and Quarter Sessions Road (or vice versA)"
"806","Bus operates direct from West Killara to Lindfield, not via CSIRO"
"807","Bus diverts to the corner of Parker Avenue ant The Comenarra Parkway at 16:41"
"838","Departs from Parramatta Interchange Stand B2 Nightsafe area"
"855","Departs from Parramatta Interchange Stand A2 Nightsafe area"
"874","Diverts via OLMC Wentworthville"
"878","Diverts via Ironbark Ridge PS"
"887","Diverts via Rowland Retirement Village"
"890","Diverts via Mt St Benedicts College"
"891","Bus diverts via Arndell College (school days) and commences 8 minutes later during school holidays"
"893","Diverts via Carlingford HS (School Days)"
"900","Diverts via Hills Adventist College"
"1093","Public school days bus operates via Burrendong Rd & Wyangala Cres omitting Rose Payten Dr..Public school holidays bus operates 10 minutes later than time shown"
"1094","Bus operates to Campbelltown Station west side..Bus operates via Narellan Rd & Hurley St direct omitting Macarthur Square"
"1096","Bus operates public school days only..Bus operates through Smeaton Grange via Hartley Rd Orielton Rd & Smeaton Grange Rd"
"1097","During public school days bus diverts from Silverdale Rd via Taylors Rd & Eltons Rd..During public school holidays bus operates 5 minutes later than time shown"
"1098","Bus runs Fridays only..Departs from Stand B"
"1099","Bus operates on public school days only..Bus operates via Cawdor Rd & Burragarong Rd to or from Camden omitting Werrombi Rd & Mayfarm Rd"
"1100","Bus operates through Smeaton Grange via Hartley Rd Orielton Rd & Smeaton Grange Rd..Bus operates via Narellan Rd & Hurley St direct omitting Macarthur Square"
"1104","Trip terminates at Lakemba Station"
"1105","Trip terminates at Beverly Hills Station"
"1106","Trip terminates at Riverwood Station"
"1107","Trip terminates at Washington Park"
"1108","Trip terminates at Narwee Station"
"1109","Trip extends to Acacia Av & Napoleon Rd, Punchbowl"
"1111","Trip terminates at Forest Road & Tate Place, Lugarno"
"1116","Trip terminates at Punchbowl Station"
"1117","Trip terminates at Roselands Shopping Centre"
"1118","Operates via Meadowbank Station"
"1124","Public school days bus diverts from Carlisle Ave via Ropes Creek Rd, Mt Druitt Rd & Great Western Hwy to Carlisle Ave, then via normal route, omitting Carlisle Ave between Ropes Creek Rd & Great Western Hwy.  Public school holidays bus operates through timing point 10 minutes later than time shown"
"1125","Public school days bus diverts from North Parade via Rooty Hill Rd Nth, Spencer St, Kimberley St and Railway St to Francis Rd, omitting the stop at Rooty Hill RSL on Sherbrooke St. Public school holidays bus commences from Mt Druitt Interchange 10 minutes later than time shown and operates via standard route.  Public school days bus diverts via Rooty Hill Rd South, Cawarra St, Great Western Hwy &  Beaconsfield Rd, omitting Evans Rd and Beaconsfield Rd between Rooty Hill Rd South & Gardner St"
"1129","Bus commences in Hyatts Rd at time shown.  Hassall Grove loop service. Bus operates from Pringle Ave via Jersey Rd to Hyatts Rd, then returns to Mt Druitt via normal Route 754"
"1131","Public school days bus diverts from Richmond Rd via Davis, Crudge & Breakfast Rds, omitting part of Richmond & Breakfast Rds.  Public school holidays bus operates through timing point 10 minutes later than time shown"
"1132","Public school days bus commences from East Kurrajong Rd & Putty Rd 12 minutes earlier, operating via Putty Rd, Creek Ridge Rd & Spinks Rd to Grand Pde, then via Spinks Rd, Rose Cres & Kentucky Dr to Golden Valley Dr, omitting part of Golden Valley Dr between Spinks Rd & Kentucky Dr.  Public school holidays bus operates through timing point 10 minutes later than time shown"
"1134","Public school days bus operates via Griffiths St, Viney St, Maple Rd, Debrincat Ave, Aurora Dr, Ellsworth Dr, Forester Rd & Ropes Crossing Bvd, omitting Forrester Rd between Griffiths St & Links Rd.  Public school holidays bus operates through timing point 10 minutes later than time shown"
"1135","Public schoool days bus diverts from corner Banks Dr & Endeavour Ave via Moore St & Endeavour Ave (or vice versa), omitting Endeavour Ave between Banks Dr & Moore St.  Public school holidays bus operates through timing point 5 minutes later than time shown"
"1136","Public schoool days bus diverts from corner Banks Dr & Endeavour Ave via Moore St & Endeavour Ave (or vice versa), omitting Endeavour Ave between Banks Dr & Moore St.  Public school holidays bus operates through timing point 10 minutes later than time shown"
"1138","Bus operates public school days only.  Change buses at Green Point for travel to Erina Fair"
"1139","Change buses at Green Point for travel to Erina Fair"
"1140","For travel from Erina Fair catch Route 63, 64, 66A or 66C service at time shown in printed timetable & change buses at Erina HS to continue journey"
"1141","Bus operates via Oberton St, Melville St, Scaysbrook Dr, Melville St & Cullens Rd, omitting Empire Bay Dr"
"1142","For travel from Gosford or Erina Fair catch Route 64, 66A or 66C service at time shown in printed timetable & change buses at Kincumber Shops to continue journey"
"1143","Bus operates direct along Avoca Dr between Central Coast Hwy & Koolang Rd.  Change buses at Green Point for travel to Erina Fair"
"1144","For travel from Gosford catch Route 63, 64, 66A or 66C service at time shown in printed timetable & change buses at Erina HS to continue journey"
"1145","Weemala St Diversion. Bus runs via Ourringo St, Weemala St, Lake St, Ocean St & Budgewoi Cir or vice versa"
"1146","Bus operates as Route 55 between Umina & Woy Woy"
"1147","Bus commences from Ocean Beach Rd & Kinsgley Av 1 minute earlier"
"1148","Bus operates between Plymouth Dr & Terrigal Dr via Windsor Rd, Willoughby Rd, Aspen Av, Hastings Rd & Brunswick Rd or vice versa then standard route.  Bus commences 3 minutes earlier at corner Willoughby Rd & Fairway Dr & operates via Windsor Rd to Plymouth Dr"
"1149","Combined service. Bus operates via Route 50 direct via Ocean Beach Rd & Sydney Av to Umina Beach (South), then via Umina Beach Shops & Route 55 to Ettalong, then via Route 53 to BookerBay.  Bus operates via Sydney Av & Ocean Beach Rd direct, omitting Umina Beach shops"
"1150","A change of bus may be required to continue journey to\from Woy Woy"
"1151","Route 92 service operating clockwise around lake.  Bus diverts to Victoria St, Norah Head"
"1152","Buff Point Av Extension. Bus runs along Nacooma Rd & Buff Point Av"
"1153","Bus operates through Blue Haven in reverse direction to standard route starting in Bokhara Av & finishing in Roper Rd"
"1154","Public School days operates via Lake Haven Dr, Pacific Hwy & Moala Pde, omitting Dudley St & Hobson Av.  Public school holidays operates 5 minutes later than time shown"
"1155","Route 90 service operating anti-clockwise around lake.  Bus diverts to Victoria St, Norah Head"
"1156","Heritage Village Diversion, along Evans Rd"
"1157","Bus operates between Plymouth Dr & Terrigal Dr via Windsor Rd, Willoughby Rd, Aspen Av, Hastings Rd & Brunswick Rd or vice versa, then standard route"
"1158","Bus operates public school days only.  Public school holidays change buses at Kincumber Church to continue journey"
"1164","Bus diverts via Burragorang Rd and operates to Camden Via Camden Rd and Argyle St..Bus operates public school days only"
"1165","Bus Operates via John St, Broughton St and Menangle Rd..Bus operates public school days only"
"1166","Bus operates to/ from Camden via Cawdor Rd and Argyle St"
"1167","Bus operates public school days only..Bus operates to/ from Camden via Cawdor Rd and Argyle St"
"1172","Commence Trip In Rabbett Street.    A restriction regarding the carriage of Schoolchildren applies to part or all of this trip"
"1173","Bus operates public school holidays only.  Omits Lake Munmorah. Catch bus on Pacific Hwy"
"1174","Bus operates public school holidays only.  Bus runs direct along Pacific Hwy to Elizabeth Dr, then returns via Lake Munmorah"
"1178","On school days bus diverts from Camden Valley Wy to and from Elderslie High School"
"1181","Marsden Park loop service. Bus operates from Riverstone to Hollinsworth Rd direct via Garfield Rd West & Richmond Rd. Returns via Carnarvon Rd route to Garfield Rd, then to Elara Estate, then returns to Riverstone Station"
"1182","Marsden Park loop service. Bus operates from Riverstone via Carnarvon Rd route to Hollinsworth Rd & returns via Garfield Rd West & Elara Estate route"
"1183","Bus operates via Garfield Rd West, Elara Estate & Richmond Rd"
"1186","Operates Friday ONLY"
"1188","Service operates via. Springfield"
"1189","Bus operates directly to Liverpool Station via Moore St. (R) Park St, (L) Moore St - does not pass Westfields Liverpool"
"1190","Bus operates direct to Liverpool Station via Moore St. (R) Park Rd, (L) Moore St - does not pass Westfields Liverpool"
"1191","Bus operates direct to Liverpool Station via Moore St.  (R) Park Rd, (L) Moore St - does not pass Westfields Liverpool"
"1192","Bus operates direct to Liverpool Station via Moore St. (R) Park St, (L) Moore St - does not pass Westfields Liverpool"
"1193","Trip terminates at Bonds Rd & Hannans Rd, Riverwood"
"1194","Bus commences from Fairfield Road & McCredie Road 2 minutes earlier"
"1195","Bus terminates at Fairfield Road & McCredie Road 2 minutes later"
"1196","Via Cartwright (L) Cabramatta (R) Miller. NOT via Miller Shops"
"1203","Bus operates from Picnic Pd via Ocean View Rd & Schnapper Rd then via Route 53 to Woy Woy"
"1204","Bus operates direct via Empire Bay Dr, omitting the Scaysbrook Dr loop. Bus commences from or terminates at Kincumber Church"
"1207","Bus terminates at Fairy Meadow except Friday nights"
"1208","Change bus at Stocklands Corrimal for through bus to Wollongong University"
"1210","Change bus at Stocklands Corrimal for through bus to Wollongong"
"1211","Bus does not operate Christmas Day or Good Friday"
"1218","Change bus at Corrimal Shops for through bus to East Woonona/Bulli.  Board at Railway Street bus stop"
"1219","Change bus at Corrimal Shops for through bus to Austinmer. Board at Princes Highway bus stop"
"1220","Bus travels to Wollongong University. Change bus at Stocklands Corrimal for through bus to Wollongong"
"1221","Change bus at Lysaght Street for through bus to Austinmer. Board at Princes Highway bus stop"
"1225","On school days only bus diverts from Forest Rd via (R) Samuel St to Peakhurst HS then via (L) Rona St (L) Park St (R) Forest Rd to normal route"
"1227","Transfer Passengers for Cessnock Correctional Centre to Route 160 at 0930"
"1228","Via Aberdare Rd. Bus stops on the depot side of Vincent St"
"1229","Passengers from Cessnock Correctional Centre may transfer to Route 164 at 1545"
"1230","Take passengers for Cessnock Correctional Centre from Route 164 due at 0930"
"1232","Does not operate Ellalong Loop - Via Helena St & Main Rd only"
"1233","Bus operates via Wollombi Rd from Greta Main to West Cessnock"
"1235","Change bus for through travel"
"1236","Bus travels direct via Stockton St"
"1239","Bus travels into Taylors Beach"
"1240","Bus operates Express to Abernethy"
"1241","Public school days bus diverts from Colonial Dr via Alexander St back to Colonial Dr, omitting part of Colonial Dr"
"1242","All stops to  Mona Vale Jct, THEN 1st Set Down Plateau Rd. Mater Maria Turning Area, Via Forest L Ponderosa, R Jubilee, L Foley, R Mona Vale, L Pittwater, Barrenjoey, L Avalon. Adult Passengers carried from Avalon. Via Route 189"
"1243","Combined service. Bus operates via Route 50 direct via Ocean Beach Rd & Sydney Av to Umina Beach (South), then via Umina Beach Shops & Route 55 to Ettalong, then via Route 53 to BookerBay. Bus operates via Sydney Av & Ocean Beach Rd direct, omitting Umina Beach shops"
"1244","Bus operates direct along Avoca Dr between Central Coast Hwy & Koolang Rd. For travel frome Erina Fair catch Route 63, 64, 66A or 66C service at time shown in printed timetable & change buses at Kincumber Shops to continue journey"
"1254","Bus operates public school holidays only. Bus commences from or terminates at Kincumber Church"
"1280","Bus diverts from corner Sherringham Rd & Pendock Rd via Sherringham Rd, The Northern Rd & Borrowdale Way, omitting part of Sherringham Rd"
"1281","Bus diverts from Borrowdale Way via Borrowdale Way, The Northern Rd & Sherringham Rd to McHenry Rd, omitting part of Sherringham Rd"
"1282","Bus diverts from corner Sherringham Rd & Pendock Rd via Sherringham Rd, The Northern Rd & Borrowdale Way, omitting part of Sherringham Rd.  Public school holidays bus operates through timing point 10 minutes later than time shown"
"1284","Bus operates on school holidays only, and runs north along Dicksons Rd then via Mandalong Rd to Lemon Tree, then operates to Wyong and Tuggerah via Route 13"
"1285","Bus passes this point on public school holidays only..Bus returns from Lemon Tree to Wyong via Route 12, setting down along Dicksons Rd. For times see opposite direction of Route 12 & 13 timetable"
"1286","A change of bus is required for travel to Westfield Tuggerah. Drivers are in radio contact in the event of traffic delays. Please note, connecting bus to Westfield Tuggerah is not wheelchair accessible"
"1287","Bus operates via Bruce Cres loop, Warnervale"
"1469","Bus diverts to Normanhurst West P.S"
"1470","After Lindfield East Public School bus diverts via Gladstone Parade, Norwood Avenue and Beaconsfield Parade to Lindfield Station (Pacific Highway)"
"1471","Bus returns to Pennant Hills Station at 15:24..Diverts via Thornleigh West Public School on school days only"
"1472","Bus continues to Turramurra Station at 16:03 via The Chase Road and Karloo Street"
"1473","Bus starts from Kooringal Ave near Gilgandra Av"
"1475","Bus travels via West Pymble Public School, Kooloona Loop and West Gordon"
"1476","Bus operates via Catalpa Cr after Kissing Point Road"
"1477","Bus diverts from Lindfield Station via Pacific Highway, Cecil Street, Norfolk Street, Spencer Road, Calvert Avenue, Mildura Street, Golf Links Road, Fiddens Wharf Road to Beaumont Road"
